"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"14.07.2025","135.299","136.187","136.187","134.840","7,33B","-0,65%"
"11.07.2025","136.187","136.742","136.742","135.528","7,40B","-0,41%"
"10.07.2025","136.743","137.472","137.472","136.014","9,57B","-0,54%"
"09.07.2025","137.481","139.303","139.331","137.299","7,58B","-1,31%"
"08.07.2025","139.303","139.491","139.591","138.770","6,75B","-0,13%"
"07.07.2025","139.490","141.265","141.342","139.295","6,12B","-1,26%"
"04.07.2025","141.264","140.928","141.564","140.597","3,31B","0,24%"
"03.07.2025","140.928","139.051","141.304","139.051","6,08B","1,35%"
"02.07.2025","139.051","139.586","140.049","138.384","8,81B","-0,36%"
"01.07.2025","139.549","138.855","139.695","138.855","6,35B","0,50%"
"30.06.2025","138.855","136.865","139.103","136.430","7,68B","1,45%"
"27.06.2025","136.866","137.113","137.209","136.469","6,24B","-0,18%"
"26.06.2025","137.114","135.767","137.353","135.756","8,02B","0,99%"
"25.06.2025","135.767","137.163","137.163","135.565","7,71B","-1,02%"
"24.06.2025","137.165","136.552","138.156","136.254","8,08B","0,45%"
"23.06.2025","136.551","137.116","137.130","135.835","7,73B","-0,41%"
"20.06.2025","137.116","138.715","138.719","136.815","11,29B","-1,15%"
"18.06.2025","138.717","138.844","139.161","138.443","8,32B","-0,09%"
"17.06.2025","138.840","139.256","139.497","138.293","8,38B","-0,30%"
"16.06.2025","139.256","137.212","139.988","137.212","7,62B","1,49%"
"13.06.2025","137.213","137.800","137.800","136.586","8,63B","-0,43%"
"12.06.2025","137.800","137.127","137.931","136.175","7,12B","0,49%"
"11.06.2025","137.128","136.443","137.531","135.628","8,77B","0,51%"
"10.06.2025","136.436","135.716","137.369","135.716","8,19B","0,54%"
"09.06.2025","135.699","136.102","136.106","134.119","7,76B","-0,30%"
"06.06.2025","136.102","136.236","136.890","135.601","9,12B","-0,10%"
"05.06.2025","136.236","137.003","137.451","136.031","9,48B","-0,56%"
"04.06.2025","137.002","137.547","138.797","136.695","10,20B","-0,40%"
"03.06.2025","137.546","136.787","137.672","136.175","9,70B","0,56%"
"02.06.2025","136.787","137.026","138.471","136.483","9,10B","-0,18%"
"30.05.2025","137.027","138.546","138.637","136.726","15,14B","-1,09%"
"29.05.2025","138.534","138.869","139.108","137.993","8,83B","-0,25%"
"28.05.2025","138.888","139.541","139.547","138.580","9,73B","-0,47%"
"27.05.2025","139.541","138.136","140.382","138.136","11,19B","1,02%"
"26.05.2025","138.136","137.824","138.800","137.795","5,55B","0,23%"
"23.05.2025","137.824","137.273","137.824","134.997","10,68B","0,40%"
"22.05.2025","137.273","137.881","138.837","137.088","13,22B","-0,44%"
"21.05.2025","137.881","140.109","140.109","137.538","10,15B","-1,59%"
"20.05.2025","140.110","139.636","140.244","138.966","9,65B","0,34%"
"19.05.2025","139.636","139.186","140.203","138.587","9,59B","0,32%"
"16.05.2025","139.187","139.335","139.335","137.713","12,11B","-0,11%"
"15.05.2025","139.334","138.425","139.408","138.321","11,50B","0,66%"
"14.05.2025","138.423","138.965","139.362","138.228","11,16B","-0,39%"
"13.05.2025","138.963","136.565","139.419","136.550","13,07B","1,76%"
"12.05.2025","136.563","136.516","137.519","136.356","10,92B","0,04%"
"09.05.2025","136.512","136.232","137.286","136.105","13,88B","0,21%"
"08.05.2025","136.232","133.458","137.635","133.458","17,20B","2,12%"
"07.05.2025","133.398","133.517","134.110","132.872","9,94B","-0,09%"
"06.05.2025","133.516","133.499","134.135","133.260","11,14B","0,02%"
"05.05.2025","133.491","135.131","135.198","133.390","10,80B","-1,22%"
"02.05.2025","135.134","135.067","135.275","134.355","12,74B","0,05%"
"30.04.2025","135.067","135.094","135.171","133.955","15,45B","-0,02%"
"29.04.2025","135.093","135.017","136.150","134.899","12,76B","0,06%"
"28.04.2025","135.016","134.741","135.709","134.711","11,45B","0,21%"
"25.04.2025","134.739","134.579","134.992","134.186","13,05B","0,12%"
"24.04.2025","134.580","132.245","134.938","132.223","14,11B","1,79%"
"23.04.2025","132.216","130.468","133.318","130.468","11,34B","1,34%"
"22.04.2025","130.464","129.650","130.877","128.726","8,61B","0,63%"
"17.04.2025","129.650","128.316","130.091","127.973","9,98B","1,04%"
"16.04.2025","128.317","129.245","129.605","128.149","11,54B","-0,72%"
"15.04.2025","129.245","129.452","129.927","128.951","8,84B","-0,16%"
"14.04.2025","129.454","127.683","129.955","127.683","10,61B","1,39%"
"11.04.2025","127.682","126.355","128.386","126.078","10,08B","1,05%"
"10.04.2025","126.355","127.796","127.797","124.895","11,46B","-1,13%"
"09.04.2025","127.796","123.928","128.649","122.887","16,92B","3,12%"
"08.04.2025","123.932","125.588","127.652","123.454","12,81B","-1,32%"
"07.04.2025","125.588","127.229","128.411","123.876","14,05B","-1,31%"
"04.04.2025","127.256","131.139","131.139","126.466","13,18B","-2,96%"
"03.04.2025","131.141","131.185","132.552","130.182","12,33B","-0,04%"
"02.04.2025","131.190","131.151","131.424","130.393","8,82B","0,03%"
"01.04.2025","131.147","130.267","131.982","130.081","8,97B","0,68%"
"31.03.2025","130.260","131.900","131.901","130.115","9,99B","-1,25%"
"28.03.2025","131.902","133.143","133.143","131.315","8,91B","-0,94%"
"27.03.2025","133.149","132.522","133.904","132.479","10,02B","0,47%"
"26.03.2025","132.520","132.069","132.984","132.068","9,40B","0,34%"
"25.03.2025","132.068","131.327","133.471","131.325","9,24B","0,57%"
"24.03.2025","131.321","132.344","132.424","130.992","8,30B","-0,77%"
"21.03.2025","132.345","132.005","132.588","131.776","14,19B","0,30%"
"20.03.2025","131.955","132.505","132.713","131.813","14,19B","-0,42%"
"19.03.2025","132.508","131.476","132.984","131.451","12,20B","0,79%"
"18.03.2025","131.475","130.832","131.834","130.722","10,99B","0,49%"
"17.03.2025","130.834","128.959","131.313","128.957","11,06B","1,46%"
"14.03.2025","128.957","125.647","129.194","125.647","14,57B","2,64%"
"13.03.2025","125.637","123.863","125.774","123.590","11,26B","1,43%"
"12.03.2025","123.864","123.507","124.048","122.969","8,25B","0,29%"
"11.03.2025","123.507","124.519","124.625","122.636","8,81B","-0,81%"
"10.03.2025","124.519","125.031","125.031","123.471","9,37B","-0,41%"
"07.03.2025","125.035","123.357","125.822","122.530","9,98B","1,36%"
"06.03.2025","123.358","123.048","124.112","122.681","10,06B","0,25%"
"05.03.2025","123.047","122.799","123.364","122.747","9,60B","0,20%"
"28.02.2025","122.799","124.798","124.916","122.659","24,87B","-1,60%"
"27.02.2025","124.799","124.768","125.497","124.352","12,55B","0,02%"
"26.02.2025","124.769","125.980","126.563","124.732","11,36B","-0,96%"
"25.02.2025","125.980","125.401","126.718","125.382","11,08B","0,46%"
"24.02.2025","125.401","127.129","127.275","125.162","10,15B","-1,36%"
"21.02.2025","127.128","127.601","127.654","126.483","11,09B","-0,37%"
"20.02.2025","127.601","127.309","127.871","127.063","10,64B","0,23%"
"19.02.2025","127.309","128.528","128.528","127.028","9,30B","-0,95%"
"18.02.2025","128.532","128.553","129.294","128.012","10,99B","-0,02%"
"17.02.2025","128.552","128.229","129.534","128.229","9,97B","0,26%"
"14.02.2025","128.219","124.849","128.482","124.849","12,56B","2,70%"
"13.02.2025","124.850","124.372","124.853","123.778","9,05B","0,38%"
"12.02.2025","124.380","126.513","126.513","124.116","14,63B","-1,69%"
"11.02.2025","126.522","125.571","126.886","125.570","11,24B","0,76%"
"10.02.2025","125.572","124.619","126.386","124.619","8,91B","0,76%"
"07.02.2025","124.619","126.219","126.524","124.320","10,95B","-1,27%"
"06.02.2025","126.225","125.531","126.399","125.249","10,03B","0,55%"
"05.02.2025","125.534","125.146","125.846","124.637","9,96B","0,31%"
"04.02.2025","125.147","125.964","125.964","124.694","9,78B","-0,65%"
"03.02.2025","125.970","126.135","126.473","125.566","9,55B","-0,13%"
"31.01.2025","126.135","126.914","127.532","126.057","10,24B","-0,61%"
"30.01.2025","126.913","123.433","127.169","123.432","11,69B","2,82%"
"29.01.2025","123.432","124.056","124.767","123.278","7,35B","-0,50%"
"28.01.2025","124.056","124.861","124.881","123.973","8,31B","-0,65%"
"27.01.2025","124.862","122.443","124.862","122.207","11,02B","1,97%"
"24.01.2025","122.447","122.483","122.908","122.196","7,78B","-0,03%"
"23.01.2025","122.483","122.965","123.958","122.159","9,49B","-0,40%"
"22.01.2025","122.972","123.345","123.865","122.926","9,98B","-0,30%"
"21.01.2025","123.338","122.850","123.462","122.290","7,82B","0,39%"
"20.01.2025","122.855","122.349","123.172","121.511","6,05B","0,41%"
"17.01.2025","122.350","121.258","122.674","121.074","10,24B","0,92%"
"16.01.2025","121.234","122.649","122.660","120.796","11,31B","-1,15%"
"15.01.2025","122.650","119.309","122.988","119.303","11,93B","2,81%"
"14.01.2025","119.299","119.007","119.451","118.223","9,35B","0,25%"
"13.01.2025","119.007","118.856","119.729","118.743","8,16B","0,13%"
"10.01.2025","118.856","119.781","120.052","118.732","9,26B","-0,77%"
"09.01.2025","119.781","119.625","120.145","119.502","6,61B","0,13%"
"08.01.2025","119.625","121.160","121.160","119.351","10,23B","-1,27%"
"07.01.2025","121.163","120.022","121.713","120.022","11,12B","0,95%"
"06.01.2025","120.022","118.534","120.322","118.534","9,69M","1,26%"
"03.01.2025","118.533","120.125","120.356","118.404","9,80M","-1,33%"
"02.01.2025","120.125","120.283","120.782","119.120","9,37M","-0,13%"
"30.12.2024","120.283","120.267","121.050","120.158","8,90M","0,01%"
"27.12.2024","120.269","121.078","121.609","120.252","8,94M","-0,67%"
"26.12.2024","121.078","120.767","121.612","120.428","8,34M","0,26%"
"23.12.2024","120.767","122.105","122.105","120.617","9,95M","-1,09%"
"20.12.2024","122.102","121.183","122.209","120.700","18,13M","0,75%"
"19.12.2024","121.188","120.768","121.770","120.768","13,68M","0,34%"
"18.12.2024","120.772","124.699","124.699","120.457","19,74M","-3,15%"
"17.12.2024","124.698","123.560","125.301","123.560","17,56M","0,92%"
"16.12.2024","123.560","124.610","124.956","123.495","11,07M","-0,84%"
"13.12.2024","124.612","126.102","126.290","124.578","11,76M","-1,13%"
"12.12.2024","126.042","129.587","129.587","125.829","13,45M","-2,74%"
"11.12.2024","129.593","128.228","130.899","127.362","13,17M","1,06%"
